update,solves_Initial,solves_Compute Equal,solves_Compute Increment,solves_Compute Double,solves_Compute Square,solves_Compute Log
0,0,0,0,0,0,0
50,0,13,13,0,0,0
100,0,10,10,0,0,0
150,0,16,16,0,0,0
200,0,16,15,0,0,0
250,0,16,16,0,0,0
300,0,20,19,0,0,0
350,0,20,20,0,0,0
400,0,14,14,0,0,0
450,0,12,12,0,0,0
500,0,20,20,0,0,0
550,0,19,19,0,0,0
600,0,21,20,0,0,0
650,0,22,21,0,0,0
700,0,23,23,0,0,0
750,0,31,30,0,0,0
800,0,30,30,0,0,0
850,0,37,35,0,0,0
900,0,39,37,0,0,0
950,0,42,42,0,0,0
1000,0,44,43,0,0,0
